,Method,MAE,RMSE,R,SIM,FSD,NSE
0,SVR,13.619283621686824,16.6579162480102,0.9076849869523688,0.9045935999686923,1.9886154633049764,0.670192609218411
1,ARIMA,41.16535198794887,47.82039168343519,0.5971645172801876,0.7660970302899515,1.5691524796404588,-1.7179739700746008
2,KNN,8.876666666666669,11.311668017287873,0.9342571301293947,0.9351917836794007,1.9863468586727375,0.8479199185113951
3,RF,15.643861111111109,19.53273391785071,0.9081832790490733,0.8931662924950741,0.9819742715245334,0.5465336103765416
