,Method,MAE,RMSE,R,SIM,FSD,NSE
0,SVR,13.510873364357332,14.372744213469074,0.9451942310104396,0.724566562586389,1.9463821675692563,-0.5323980927527541
1,ARIMA,8.783378322987309,9.294371239416954,0.9904512786839077,0.7990178082365388,1.5611605271240168,0.3591856331136126
2,KNN,12.56666666666667,14.142842712835352,0.8172714607080948,0.7458852227993163,1.9275668649330666,-0.4837667422213068
3,RF,14.716666666666667,16.267668258098812,0.87576178777812,0.7148608611561471,1.6895173796304628,-0.9631018133113545
