,Unnamed: 0,Method,MAE,RMSE,R,SIM,FSD,NSE
0,0,SVR,13.560226696422792,13.674624361332052,0.0483871788426955,0.2720785415960663,1.330457615013781,-69.86139632891891
1,1,ARIMA,1.419478202990831,1.7300678875751252,0.8797996266982757,0.795308581275246,1.958880165894956,-0.1342405920239118
2,2,KNN,8.000000000000037,8.163264597505675,,0.3909901224073313,2.0,-24.252631578947604
3,3,RF,7.37833333333333,8.003989109604449,-0.5976325001323131,0.4331558325928351,1.9629087858308736,-23.276824210526296
4,0,ARIMA_SVR,1.6964365896008076,2.113726554908272,0.8374634001944344,0.773792657723282,1.954736723215128,-0.6930761911713486
5,1,ARIMA_KNN,1.5404461043576514,2.143163921602658,0.3601313197381423,0.7991120467496952,1.9652518342811796,-0.7405627096308871
6,2,ARIMA_RF,1.8294922671159195,2.055136897528965,0.867254856110611,0.7439951091244748,1.9621979688670224,-0.6005174319269408
7,0,SVR,15.105031924114067,15.46769173887205,0.3347912270586572,0.3235070624479156,1.8257052853161897,-58.52816627722329
8,1,ARIMA,4.387769175077172,5.412539983468803,-0.0360442443592622,0.6664738240589795,1.9522129360280205,-6.289096892373876
9,2,KNN,6.791666666666704,7.081372277555661,,0.5186709469729539,1.999999999997076,-11.476889848812224
10,3,RF,7.786111111166671,8.217684042334652,0.1859776157119694,0.4904492676890863,1.957581265568005,-15.80236313922832
11,0,ARIMA_SVR,4.533643062150001,5.50201134261445,0.059170356285689,0.6565908781442351,1.9497247392655763,-6.532071791366154
12,1,ARIMA_KNN,3.809357816803072,4.710340540273042,-0.269216980023388,0.692762708154623,1.961824646602938,-4.520470587937663
13,2,ARIMA_RF,4.712836788328569,5.643851943886816,-0.0316149218334026,0.6421450684438634,1.9536875135981224,-6.925427777261618
14,0,SVR,13.869133457399377,14.51436273403876,0.803849173392013,0.7867127300540039,1.9008159899440125,-0.0394027438784498
15,1,ARIMA,15.923163137641676,22.47159573971316,-0.5777881619193007,0.7954527566773574,1.948643592895409,-1.4914704506554384
16,2,KNN,10.000000000000025,13.408814127144009,0.7174824407231726,0.8487189927408676,1.633702593336022,0.1129080152584554
17,3,RF,12.459374999999994,16.65062472757785,-0.6445102266076138,0.8207311367209655,1.9409958365884956,-0.3678830860646291
18,0,ARIMA_SVR,15.907028862022091,22.376459259474974,-0.5339143639830629,0.7950868287952293,1.9491801391668595,-1.470419165856775
19,1,ARIMA_KNN,16.08964191595983,22.995480167746468,-0.6741168726351772,0.7962523379102944,1.9361455947007888,-1.608992790136087
20,2,ARIMA_RF,16.113573911126807,22.512657618467895,-0.5544736422559363,0.7923101536440541,1.9510717336606465,-1.500583993650241
21,0,SVR,13.511364485342863,15.132797167149311,0.6347594525614683,0.8056033772062219,1.9271120992738096,-0.1072494160665822
22,1,ARIMA,24.446940836502616,29.13733308100777,-0.6107696203661115,0.7141855521285799,1.9549232476452467,-3.1049383120330765
23,2,KNN,14.746527777777796,17.73187977021008,0.2538580611646076,0.7980622880225788,1.839266319062073,-0.5202555365226444
24,3,RF,16.836493055562503,20.67537242851473,-0.6849501479859634,0.779561284222229,1.9393898592629637,-1.0668726594629048
25,0,ARIMA_SVR,24.50506319441081,29.19524189108194,-0.5999839741880943,0.7136162052674018,1.9538048109718436,-3.1212711941208875
26,1,ARIMA_KNN,24.360150793834464,29.12555558327461,-0.5851074032887246,0.7156510075699877,1.9471547962375424,-3.101620497690364
27,2,ARIMA_RF,24.58955307530092,29.199495694133788,-0.5887553043505636,0.7123050797207582,1.9567320941774176,-3.1224722359347723
28,0,SVR,17.255083453202744,19.44318767063313,0.5183961646021641,0.766856011183149,1.946457886581352,-1.1261935808727044
29,1,ARIMA,26.439826721431825,30.16364199501527,-0.5609844215810084,0.6909980916483288,1.960808443508631,-4.1172357070111385
30,2,KNN,14.73958333333334,18.128450608108167,0.0395528563377842,0.800528584503101,1.8573241687470363,-0.8483714072447481
31,3,RF,16.322013888902784,19.96371823957289,-0.4764231243349557,0.7842565921024444,1.9437537670893603,-1.241561867429776
32,0,ARIMA_SVR,26.469671292958907,30.182209623657112,-0.5325723453421827,0.6906400360202558,1.959692014060016,-4.123537610219324
33,1,ARIMA_KNN,26.227519585109672,30.018081636827123,-0.5064429945120383,0.6933327231549836,1.9523066178613449,-4.067966496409577
34,2,ARIMA_RF,26.593482830450487,30.25733095423549,-0.5336048886336605,0.6892507527248616,1.9619804222008264,-4.149073576288063
35,0,SVR,31.673947341561107,41.61044622315992,0.7489952989910986,0.8440380547036076,1.9563862577526403,0.2897428993041387
36,1,ARIMA,62.505943316173145,80.0311545641728,-0.3703118000958735,0.7455120183524955,1.9682051043311104,-1.6274169814334505
37,2,KNN,58.332638888888894,83.28656500133873,-0.8151093688857137,0.7752741471174437,1.955499437582652,-1.8455140843497104
38,3,RF,53.44916666669167,74.07632755308667,-0.8548580392438359,0.7825603221286865,1.914338265806528,-1.2509700924342235
39,0,ARIMA_SVR,62.554831145091605,80.07412599366997,-0.356864350168784,0.7453385586560526,1.966719289371164,-1.6302392367199294
40,1,ARIMA_KNN,62.31289755737463,79.88251290917509,-0.2928000916930039,0.7462671589917148,1.958532302724072,-1.6176662554118018
41,2,ARIMA_RF,62.65202095112313,80.12913344954141,-0.364582105288232,0.7449037870180988,1.9690717445064343,-1.6338541987902988
