,Method,MAE,RMSE,R,SIM,FSD,NSE
0,SVR,17.255083453202744,19.44318767063313,0.5183961646021641,0.766856011183149,1.9464578865813522,-1.1261935808727044
1,ARIMA,26.439826721431825,30.16364199501527,-0.5609844215810084,0.6909980916483288,1.960808443508631,-4.1172357070111385
2,KNN,14.73958333333334,18.128450608108167,0.039552856337784256,0.800528584503101,1.8573241687470363,-0.8483714072447481
3,RF,16.322013888902784,19.96371823957289,-0.4764231243349557,0.7842565921024444,1.9437537670893603,-1.241561867429776
