,Method,MAE,RMSE,R,SIM,FSD,NSE
0,SVR,13.511364485342865,15.132797167149311,0.6347594525614683,0.8056033772062219,1.9271120992738096,-0.10724941606658223
1,ARIMA,24.446940836502616,29.137333081007775,-0.6107696203661115,0.7141855521285799,1.9549232476452467,-3.1049383120330765
2,KNN,14.746527777777795,17.73187977021008,0.25385806116460763,0.7980622880225788,1.839266319062073,-0.5202555365226444
3,RF,16.836493055562503,20.675372428514734,-0.6849501479859634,0.779561284222229,1.9393898592629633,-1.0668726594629048
