,Method,MAE,RMSE,R,SIM,FSD,NSE
0,SVR,31.673947341561107,41.61044622315992,0.7489952989910986,0.8440380547036076,1.9563862577526403,0.28974289930413877
1,ARIMA,62.505943316173145,80.0311545641728,-0.37031180009587356,0.7455120183524955,1.9682051043311102,-1.6274169814334503
2,KNN,58.332638888888894,83.28656500133873,-0.8151093688857137,0.7752741471174437,1.9554994375826522,-1.8455140843497104
3,RF,53.44916666669167,74.07632755308667,-0.8548580392438359,0.7825603221286865,1.9143382658065276,-1.2509700924342235
