GIST_0,GIST_1,GIST_2,GIST_3,GIST_4,GIST_5,GIST_6,GIST_7,GIST_8,GIST_9,GIST_10,GIST_11,GIST_12,GIST_13,GIST_14,GIST_15,GIST_16,GIST_17,GIST_18,GIST_19,GIST_20,GIST_21,GIST_22,GIST_23,GIST_24,GIST_25,GIST_26,GIST_27,GIST_28,GIST_29,GIST_30,GIST_31,GIST_32,GIST_33,GIST_34,GIST_35,GIST_36,GIST_37,GIST_38,GIST_39,GIST_40,GIST_41,GIST_42,GIST_43,GIST_44,GIST_45,GIST_46,GIST_47,GIST_48,GIST_49,GIST_50,GIST_51,GIST_52,GIST_53,GIST_54,GIST_55,GIST_56,GIST_57,GIST_58,GIST_59,GIST_60,GIST_61,GIST_62,GIST_63,GIST_64,GIST_65,GIST_66,GIST_67,GIST_68,GIST_69,GIST_70,GIST_71,GIST_72,GIST_73,GIST_74,GIST_75,GIST_76,GIST_77,GIST_78,GIST_79,GIST_80,GIST_81,GIST_82,GIST_83,GIST_84,GIST_85,GIST_86,GIST_87,GIST_88,GIST_89,GIST_90,GIST_91,GIST_92,GIST_93,GIST_94,GIST_95,GIST_96,GIST_97,GIST_98,GIST_99,GIST_100,GIST_101,GIST_102,GIST_103,GIST_104,GIST_105,GIST_106,GIST_107,GIST_108,GIST_109,GIST_110,GIST_111,GIST_112,GIST_113,GIST_114,GIST_115,GIST_116,GIST_117,GIST_118,GIST_119,GIST_120,GIST_121,GIST_122,GIST_123,GIST_124,GIST_125,GIST_126,GIST_127,class
0.0013869423671839,0.0008202989623735,0.0013189200308465,0.0007861436578604,0.0010900374200258,0.0012292499061397,0.0014227174728968,0.0017872157981075,0.0012082297624678,0.0172214401940054,0.0008367772951465,0.0008016236590738,0.001491777867636,0.0020565569719482,0.0010419485244792,0.0011371440940799,0.0008674582020281,0.0542458230030112,0.0045238380194656,0.0014107619408966,0.0011663207910178,0.0027956763714029,0.0019358906716715,0.0010822695467932,0.0018562488665734,0.0315819667767455,0.0200647345268544,0.0022359795186984,0.0008918493292962,0.0018253662977227,0.001499053016834,0.0014609967172193,0.0164469368644665,0.0563722157462435,0.0095407243545442,0.0032764571806204,0.005517074261112,0.0132403651577041,0.0012030968134629,0.0006515933325481,0.0063839987491981,0.0572679100310795,0.0056339527574727,0.0015740013576174,0.0029798831493541,0.0083040064475846,0.0074741225148295,0.0051079928173898,0.0015779108667382,0.0061701545547991,0.0060738608261867,0.0025541483761932,0.0021884543699367,0.0061756744669294,0.0040717999260051,0.0015219274516368,0.003996483898144,0.0075939547715872,0.0055836431060327,0.0019396944906356,0.0031034433957605,0.0031199397975635,0.0051444247525006,0.0028838491162762,0.0153951328794172,0.0074676687299809,0.0024688335523103,0.0049181565219439,0.0042244820677938,0.0010304509806425,0.0305785663808572,0.0495559030792291,0.0007646050384068,0.0035688686672944,0.0343542384486564,0.0079646444487001,0.0045364012246813,0.0161964146241604,0.024925669557975,0.0017972005805989,0.0010105029422554,0.010318694709491,0.0127618012046716,0.0012967430079926,0.0014783004371822,0.0106470450502002,0.0134403327842649,0.0023792938171348,0.0020085392094225,0.011862442009301,0.0070342855547061,0.0016800980773705,0.0014325266061743,0.0086864765481631,0.0110985970139541,0.0031979948820823,0.00128604386715,0.0012580000049414,0.0015288736039637,0.0009278845609443,0.0006691191866172,0.001454276939869,0.0129800542049017,0.004363301078742,0.0009668917832038,0.0007139093010626,0.0051410872430474,0.00039610455468,0.0009551050595569,0.0036765290579664,0.0603077629208097,0.0018708115612143,0.0007918204682676,0.0018971290795263,0.0120305357078094,0.0022145283962751,0.0010326502995296,0.0073573590828953,0.0607132179998878,0.0015198943961458,0.0011193305913909,0.0015306943676449,0.0061612238996635,0.0026306317993609,0.002506252261461,0.0331506034938943,0.0249424781026722,0.0020700312044539,positive
0.0145550771427647,0.0283141406147649,0.026515777012676,0.00416206109662,0.0016523320586437,0.0016465063475572,0.0046220435816379,0.012037989130982,0.0021754526616874,0.0342836036068344,0.0415066412826995,0.0025655926160234,0.0011984011284498,0.0006557435845247,0.0007481636251429,0.0020352686778496,0.0031217714067959,0.048552361059919,0.0208195528915201,0.0038408067514155,0.0009282702170198,0.000447115473643,0.0008558698545822,0.0020453982771703,0.003623561020659,0.0386893953030861,0.0224943666677344,0.0048542617735661,0.0015253332423616,0.000501662680918,0.0020041460186925,0.0017844951548189,0.0011544011922785,0.0014108855890216,0.002120596027313,0.0009389101927956,0.0007564992170594,0.002332279145408,0.043323072287458,0.0213464750564322,0.0040082613182434,0.0117748962957742,0.0124320466534964,0.007962554892136,0.0043843063614483,0.0184590017311629,0.0246157547923637,0.0278715189232011,0.003861847627253,0.010332493026037,0.0103605960488142,0.0040184801488578,0.0028200460697796,0.0172217128566934,0.0125212666173632,0.0024926035090715,0.0037841996403491,0.010999572098435,0.0065391942955576,0.0029495339812234,0.0014726305323051,0.0126542364376538,0.008188402912676,0.0017171347248995,0.0009474351185889,0.0021862078032135,0.0013312506354364,0.00138466386316,0.0017444001339485,0.0012766329318514,0.0014397020947219,0.0016374246525637,0.0030992480748789,0.0026873942278502,0.0011736116661329,0.0038423306117278,0.0015547264601899,0.0014001401186749,0.0226371858113324,0.0515670958766037,0.0051933362209229,0.0040204266412108,0.0103647831873086,0.0056901864285247,0.0036284544918386,0.0077938220767816,0.0187634264263065,0.0040703898621258,0.0027135532802293,0.007916387023543,0.0089242665626698,0.0036210205627251,0.0021836850011194,0.0046821154578932,0.0083788895235243,0.0065446584100844,0.0015622559460265,0.0015951043633874,0.0021402230483628,0.0015322842582414,0.0020174893318907,0.0014012661691439,0.0022855559717262,0.0014849981028628,0.0015994047741772,0.0018164818136711,0.0016538408120676,0.0018140678238494,0.0013276137632014,0.0012404036215704,0.0034029387912664,0.0023579195874353,0.0011759829183188,0.000667928166236,0.001132246364732,0.0011940344150303,0.0011280628082101,0.0040614455776649,0.0472880648143588,0.0062090510971532,0.0007688671750625,0.001208282922035,0.0010882247451419,0.0009181940166507,0.0019172763894809,0.0112532526301333,0.0505120875461053,0.0042577268309345,positive
0.0022577023803402,0.0097338162687171,0.0010741542690189,0.0011961326474747,0.0013456646287618,0.0009023124297101,0.0010095841278163,0.0010914282538386,0.0034139087843216,0.0468070479659448,0.0028520325421833,0.001526561860918,0.0011944513961346,0.0013038411221479,0.0004907237542649,0.0013564360926585,0.0014639342930085,0.0558081281383507,0.0082412674904245,0.0009521360970177,0.0015439774452362,0.0029204118728129,0.0017874896874538,0.0008850762273357,0.0031326945989456,0.0387319583246144,0.021416375954559,0.0020946301867435,0.0014755848013089,0.0003727739444172,0.0012848975984703,0.0004631128443238,0.0513529121337303,0.0253738709006383,0.0059761217139788,0.0056812267774846,0.0007992636777222,0.0006608279958667,0.0038953228537495,0.0162218511123179,0.0017931405592297,0.0362204314546335,0.0153110676764715,0.0043437954221549,0.0030862827879488,0.0354651701410093,0.0034374401863638,0.0008119205569763,0.0034348581817396,0.0146574666335122,0.0110874308508707,0.0025686560977896,0.0024601401035418,0.0166131950789714,0.0120631615003399,0.0016892785064299,0.0027560636389598,0.0104612903290542,0.0102745045988642,0.002532838009868,0.0015159763350831,0.0130701738703021,0.0130453996288751,0.003368069190069,0.0004128900535565,0.0012979059540207,0.0046193357300289,0.0010079535042067,0.0021628295475433,0.002901480741889,0.0576176692564349,0.0123645481893322,0.0008997786848965,0.0046612739047463,0.0154364790381419,0.0043128459374736,0.0022707395370065,0.0038311261879306,0.0597859992766509,0.0039635355421199,0.0008982441461895,0.0021362040654442,0.0154424365495519,0.0032335802188923,0.0017975432913906,0.0058354294195491,0.0136080320158692,0.002171875936491,0.0019730076977517,0.0022063689841726,0.0031234811523032,0.0022220628645172,0.0037550201909701,0.0054724633909489,0.0055409332651955,0.0052516924880456,0.0013376739901756,0.0011905854622424,0.001136379495106,0.0014752302552686,0.0010528166991879,0.0009574896966643,0.0010027176364934,0.00176034120553,0.0009407960859048,0.0013718268775207,0.0012174722258907,0.0011019729180127,0.0010496942890337,0.0011675400847615,0.0214977654514039,0.0013882180011346,0.0008069226533746,0.0016749598334683,0.0027803394033306,0.0026610525399251,0.0008338746579192,0.0014288690533375,0.0606646825206888,0.0019900630826981,0.0007848011517329,0.0032040518945805,0.0084650290919841,0.0070191886231139,0.0008268111106604,0.0138453992827683,0.0473192659870274,0.0016720054412917,positive
0.0009590833840226,0.0012155262887598,0.0020567478510092,0.0013462976467448,0.0010675284523736,0.0015293141113616,0.0019844594699111,0.0010125053305191,0.0013317392425254,0.0020513499246307,0.0010612650796842,0.0007478111652817,0.0011422796510102,0.0007782496185534,0.0015628950817508,0.0011594215827437,0.0094214645737641,0.0407791752956832,0.0037186505299562,0.0012414681619665,0.0009090359981522,0.0010405780830924,0.0023801273102159,0.0013319154033199,0.003578672025371,0.0510803316331728,0.015329654236143,0.0014795636064991,0.0007922248521018,0.0021077745681241,0.0009154509019046,0.0008855814970195,0.0009629379761265,0.0030904507275864,0.0016312364820755,0.0005316251732691,0.0010561664559616,0.0018728153726842,0.0017653537484632,0.0013176478193699,0.0361047708937824,0.0278024488058376,0.0038797031474676,0.0010698700080418,0.0009136716003381,0.0030826964924111,0.0015179950287434,0.0043631934901266,0.0097891458916322,0.0295532635534922,0.0060109370657696,0.0022793668859784,0.0026350707616155,0.0081031399466044,0.004464635689575,0.0020728378402651,0.0032181782694619,0.009360968838094,0.0056114869526812,0.0024332709235768,0.0028906062587282,0.0100237129002116,0.0076947136858452,0.0020903770181305,0.0224837597522646,0.0262372646572054,0.0015892821918366,0.0005483446725123,0.0009009910393348,0.0016742675533622,0.0017614426999122,0.0011095833889617,0.0277371172247685,0.0271122889170348,0.0051185923625722,0.0015249089137235,0.0011985259232839,0.0047921865199654,0.0035907880209055,0.003252430583081,0.0029092620268225,0.0172877264378609,0.0094839994498697,0.003642690500591,0.0033571729506172,0.0170461223859618,0.0111148816082954,0.0021551997184597,0.0018246494252092,0.0106101307234763,0.0097106946522241,0.0034361773653802,0.004113534402633,0.0126928096361955,0.0079613861378366,0.0034503892563438,0.0336645492166803,0.0118572535631581,0.0028254927005624,0.0004810210947713,0.0015700708454525,0.0197225275525343,0.0340958910641619,0.0217585593712097,0.0022823700076225,0.0121566983027087,0.0020614415085929,0.0015624614940479,0.0105183938167816,0.0726780716435721,0.0170529996483544,0.0016683189381071,0.0008420840903551,0.0025079478476068,0.0010220285666693,0.0004467933399844,0.0022810011902822,0.0363962918665385,0.0314053447029948,0.0025571565508827,0.0016763616432883,0.0007752047314488,0.000468808786572,0.0007624741805865,0.0021174532497054,0.0289581970598437,0.0313390188432819,0.0018666732210777,positive
0.0015174006914369,0.0009514869268087,0.0009731329149041,0.0013673855265694,0.0014236156343665,0.0009758375674857,0.0013001204761862,0.0011891754547401,0.0014182923269424,0.0025123852874683,0.0008465285676832,0.0008325559645567,0.0016965054847345,0.0020387412434413,0.0011305967218276,0.0011694901190033,0.0011569667702285,0.0422779260161508,0.0026266793065814,0.0009661788948109,0.0009522528409862,0.0013031465743145,0.0021666849919334,0.0009815663823081,0.0009121535242841,0.0468060838855832,0.0093363606441505,0.0020310047137014,0.0016534705189666,0.0019912908903617,0.0015410231428981,0.0009189078787089,0.005361322187359,0.0474619709479932,0.0105942140654271,0.0023445937310815,0.0008730311907706,0.0028817320792819,0.0026113015990959,0.0024298685439214,0.007508586093465,0.0586104889844159,0.007513184441824,0.0025797228897914,0.0021603654346349,0.0029807163972292,0.003132563327724,0.0016907906509459,0.0036837644846783,0.0245323674136474,0.0052191772359784,0.002522139536039,0.0029397301128674,0.0123276343711887,0.0055793123762943,0.0016074404602815,0.0021662887282048,0.0056435831608662,0.0033949207893795,0.0025112651615664,0.004518952186109,0.0040561235067333,0.0041485490630029,0.0025331868401689,0.0068996215381168,0.0020114393371373,0.0043314648135197,0.0066288170207924,0.001084882152061,0.0048313110617883,0.0377707071343518,0.0328427123927049,0.0040258942515447,0.0051348879216402,0.0396104543772207,0.0077757160949212,0.0041584694452841,0.0088704253154251,0.0516693793491027,0.0071430816195963,0.0010943055543586,0.0102749759897058,0.0206985292042384,0.0010675989649676,0.0024921068431998,0.0129249221569721,0.0153741851641655,0.0023110406828866,0.0032490444781633,0.0145414920404481,0.0089724658180588,0.0016253782744789,0.0025181536317235,0.0100968929687377,0.0101954107887082,0.0030253372956122,0.0014913920119389,0.0008587929847933,0.0013640177329998,0.0009144343777053,0.001547276712766,0.0014405648129475,0.0095474743840767,0.0010105793016297,0.0006131518074112,0.0019275584668497,0.0067621375943429,0.0048466828220373,0.0009085195007329,0.0031755956243469,0.0561359502809854,0.0025303849235581,0.0010792167358732,0.0017845822300355,0.0115388001500287,0.0028841352834263,0.0009303314681616,0.0020580690057875,0.0699911193338858,0.0031480090157258,0.0019074075757668,0.0035509372504728,0.0024132579784073,0.0034612942057839,0.0022974958890567,0.022081747417269,0.0414864818905517,0.0019776616721483,positive
0.0007868079978542,0.0050129800629633,0.0014198437847955,0.0010538455789644,0.0011068157085466,0.0029016741335732,0.0015609642496298,0.0006620731083155,0.0008946324752198,0.0312273535348439,0.0025315618665259,0.000664369307085,0.0007522438502698,0.0020574339435875,0.0017207257054744,0.0006590310392316,0.0007569016123217,0.0239137583677865,0.0149052124951131,0.000403323477799,0.0018699467326128,0.0015906635737507,0.0018077531312751,0.0008510799872604,0.0021369415483437,0.0418040184488311,0.0114972812881843,0.0006555630525211,0.000451432912851,0.0036737771441941,0.0023649276226497,0.00151417082143,0.016910718316349,0.0478079486877087,0.0086974322583646,0.0012636589830337,0.002056306517648,0.0038711370610832,0.0196449467826772,0.0165767358715181,0.0171318653833894,0.031650581176798,0.0146294927228329,0.0107519638085656,0.0061737214908881,0.0142527080471114,0.0047718147578773,0.0029996491171362,0.0012011977068883,0.0264533724395804,0.0100190430729646,0.003169135417548,0.0017632233537933,0.0113241705905769,0.0030385715464105,0.0023597014495822,0.0015201350192906,0.0080578239110809,0.0057061312830313,0.0028085971894253,0.0022288438429645,0.0014729070612447,0.0019866706542938,0.0020466944213764,0.0010486732967643,0.0008888119156992,0.0014958734364176,0.0021728117292542,0.0049533339699845,0.0030359784591405,0.0173039280264414,0.041438288546362,0.0102279630918058,0.0040948388146357,0.0291186352732353,0.0037286148884152,0.00110867114381,0.0076824747562517,0.0656204426160744,0.0057242228421119,0.000798223248287,0.0085079950601164,0.020043301931506,0.0022117397393862,0.0029083848107219,0.0126254158126817,0.0252592231543941,0.0031832304892785,0.0013534885837591,0.0138803183076901,0.0121134536295699,0.002344461704043,0.0005749213321401,0.0131837137556801,0.0144947639561504,0.0011838128948131,0.0010137203210874,0.0017984673860765,0.0018318595182901,0.0008781610623336,0.0009104996366849,0.001236090032988,0.0014743909898937,0.0007706453095827,0.0013055476889698,0.0012347598941372,0.001938491506864,0.0009140673042914,0.0008760979805284,0.0016829720013423,0.0328283247711934,0.0010932541118043,0.0014397942080003,0.0019448173877594,0.0044422111182029,0.0012168357767441,0.0005589672615873,0.0020142356686426,0.05402328542749,0.0023465033967996,0.0007537338150129,0.001252148984091,0.0032464319606673,0.0041444658878225,0.0017185791441915,0.0056064073768762,0.057428181383821,0.0022100319619293,positive
0.0011789344517657,0.0014822560161244,0.0019283294947662,0.0011489700209727,0.0013208401801873,0.0010788075825326,0.0016911132510093,0.001535684279222,0.0017302607943006,0.0227858216034274,0.0015284136181269,0.0013237075325908,0.0015154338707866,0.0025264303831573,0.0008904711202488,0.0012928905847297,0.0026988213119386,0.0559191017819656,0.0016360517234464,0.0012249548304982,0.0017031378485175,0.0019394927990909,0.000652969428236,0.0010531577856826,0.0023750368606826,0.0586369894311989,0.0080859196019796,0.0018341531344375,0.0015868964940396,0.0024729396271153,0.0011800247592808,0.0003024466583454,0.0309124177200115,0.0362420402028972,0.0018157721987802,0.0021294271550016,0.0015744480876378,0.0013651443899529,0.0012677889166635,0.0013744206360223,0.0092136662683943,0.0657231751822721,0.009933470852166,0.0047225692362593,0.0042429246913226,0.0195189907542626,0.0056359723014354,0.0072586748914533,0.0013975157732082,0.0208371570263531,0.0114648987001556,0.0043394010968032,0.0025064014017132,0.0221322094609364,0.005698233479596,0.0007508929690404,0.0016975244915063,0.0101770231370782,0.008848720307282,0.0020884362739328,0.001401422258323,0.0104921492757383,0.0118521158246964,0.0026490555599314,0.0153892049897877,0.0036839560429758,0.002840532559148,0.0016276489282155,0.0033891189786239,0.0048508937258,0.0397912837115042,0.0300885232153238,0.0025170672911725,0.0019455593359478,0.0221922438169098,0.0069207221387571,0.0072083992376766,0.0291565913999563,0.0254785142632454,0.0244890074571019,0.0018656255003368,0.0032916599315806,0.0074696999445492,0.0069817440274016,0.0025906736621259,0.006841545352721,0.0104848059252047,0.0022710996229755,0.0022996213181023,0.0014567595074193,0.0032084420822599,0.0025405641379428,0.0035206452036971,0.0049710001784718,0.0083285163835581,0.0021486176448897,0.0015463851110276,0.0010488952954955,0.0021328921591789,0.0006662384903761,0.001312445470945,0.0013947511795052,0.0042362572677837,0.0017192389863383,0.0014070004581296,0.0010545615461805,0.0010918608478952,0.001305653781684,0.0008857590828818,0.0022087884358746,0.033339874872419,0.0023404586808897,0.0008855374433255,0.0020126009058729,0.0030375687322621,0.0004720373940553,0.0010968603624223,0.0034568241514039,0.0551399897511747,0.004114449124397,0.0011921392018176,0.0019832883697966,0.004385497372382,0.0047344250679322,0.0024714112940449,0.0072747549793792,0.0478205386087115,0.0008662086767514,positive
0.0213971813866885,0.0277460892981649,0.0042521761722145,0.0012040537739841,0.0011049419546334,0.0017604773013717,0.0017772229277631,0.0015346143919281,0.0036955840526477,0.0504255188854393,0.0119427808339349,0.0027658791896245,0.0017223813547483,0.0041308516585785,0.0020105571297555,0.0024434189993317,0.0021237365947084,0.0297343139164529,0.0329191852518384,0.0012295560145803,0.0021757365063128,0.0032808776869944,0.0025872542345437,0.001471736449393,0.0034359320480622,0.0210224280468694,0.0432065424699508,0.0026663364539535,0.0033158517561035,0.0043347872509821,0.0030462552507476,0.0017312021206883,0.0231286898733465,0.0157191035789836,0.0043246887572411,0.0008669962760322,0.0005594006528531,0.0034302753952602,0.0098204333146695,0.0293905590544257,0.0030332076743553,0.0137473231486712,0.0132505444849406,0.0042041621451548,0.0017893068150951,0.0089370752938753,0.0159669669475706,0.0018205269747955,0.0018465819071582,0.0108199998727269,0.0163531153019284,0.0055441816388132,0.0018708803409511,0.0117447259020644,0.0160628694436988,0.0017522949261016,0.0013850426780783,0.0090346732219608,0.0123768369641023,0.0029699589813203,0.0023389108849292,0.0144361763875046,0.0107102695133352,0.0021361996576569,0.0015489814927308,0.0006068663540097,0.0003585009493925,0.0002825733932954,0.0005448290396036,0.001515823122404,0.0152941964406485,0.0441509596361959,0.0027510896955068,0.003018789589875,0.0104527573796665,0.0051494962775295,0.002234477874651,0.0040971961626738,0.0209621400463888,0.0106140773839687,0.0022923614390381,0.0060785875172971,0.0110967006412271,0.0050051412419328,0.0035279509866963,0.0068351083979866,0.0181299508260413,0.002730177117858,0.0010208584888457,0.0077170151766375,0.0056721928445339,0.0028969770746128,0.0032779268673214,0.0078520945584316,0.0119427090467757,0.0026475140595254,0.0010921815092613,0.0011132852110599,0.0018275216651744,0.0008290969217877,0.0011982336952892,0.0011873092894357,0.0020322751508493,0.0022768562549432,0.0008563288791104,0.0009511320592596,0.0006359040455557,0.0012012126641127,0.0010634324770955,0.0016637518779869,0.0451171221759939,0.0117797190917068,0.0014785852413835,0.0033741723136814,0.0023964724110357,0.0016087176895398,0.0022334091705005,0.0070969201505372,0.0488119377420031,0.0028800472892874,0.0014947304032046,0.0035798610075774,0.0043632487645882,0.0046305569895367,0.0023271497938342,0.0112998912250391,0.0335020302003984,0.0022234461424925,positive
0.0028478844223618,0.0015917471455614,0.0024337378831495,0.0025543654313648,0.0028307959604419,0.0017699658867281,0.0020279516991189,0.0039097101386761,0.0027086269740813,0.0071416106364395,0.0015632300956121,0.0032148195481358,0.002818694832279,0.0020850192787831,0.0016084755955047,0.0030180346045547,0.0028457936239291,0.0297941053918472,0.0119756164589928,0.0023130701731464,0.0018080634414258,0.0016305507920995,0.0016710078428339,0.0017578395910745,0.0013439875448585,0.0305726200879924,0.0185210572985075,0.0015352504231145,0.0015830501675134,0.0011395185460267,0.0016208560088226,0.002375340603064,0.0196078729294003,0.052013628451721,0.0156472311238356,0.0092136295804318,0.0071625123754211,0.0034225946848729,0.0030823663015267,0.0015228566324819,0.0114857046594497,0.0461424804129663,0.0083286102326549,0.0027539700587726,0.0010685556435009,0.0027587245507512,0.004108002132455,0.0036170475533533,0.0041075002823121,0.0132030527166777,0.0060905954206659,0.0045460433740421,0.0033061664314586,0.0042951123978201,0.0020521920294928,0.0030417307312349,0.0069870198975665,0.0096050490948841,0.0060856664440412,0.0049218632086044,0.0039603818254512,0.0040787956569482,0.0026180016259,0.0018611925488239,0.0113927264708731,0.0023207449847744,0.0058572233372585,0.0141986088185244,0.0167291969340143,0.0093826139339467,0.0624523460402154,0.0270684948580138,0.0061314795188747,0.0094721205154479,0.0122394369351075,0.0045074923184939,0.003500037802131,0.0090586187826893,0.0478550754559962,0.007647736679197,0.0041736598694413,0.0057138716859085,0.007390179275439,0.0030536556435646,0.0026428087798574,0.0078254748407882,0.0100942889200102,0.004393382048263,0.0053281673659971,0.0057143884097252,0.0073945368883152,0.004673805022354,0.0034063296426635,0.0056892783336124,0.0089967319991708,0.0044864140992478,0.0019767067958856,0.0012689301591479,0.0022319687987587,0.0028092613629725,0.0020593712749582,0.0014457306237359,0.0032388338627408,0.0030692162414764,0.002413713803021,0.001434100102155,0.0012546742368607,0.0025092349082757,0.0022861786123663,0.0012216584992789,0.0216542668713778,0.0041741786005884,0.0013942105544664,0.0032174089468812,0.005513972232539,0.0021738965804337,0.0019960207727143,0.0044661054844901,0.05281123587548,0.0051209096362639,0.0038551399763053,0.0054936376876696,0.0094802708207671,0.0019298399299706,0.0022977765545822,0.00615217222357,0.0617366623950304,0.0072132402266195,positive
0.0018560132924255,0.0015557260520728,0.0016480210562569,0.0008429759445175,0.0010681222105828,0.0010289391276703,0.0015149716655216,0.0013905039865204,0.0015720961898632,0.002836473547371,0.0011294475274741,0.0014142187669793,0.0020478435419143,0.0015841278610967,0.0008744918925335,0.0013229325305421,0.0030160541317685,0.0443920043405713,0.0080978648670146,0.0010753798485578,0.0018877472814397,0.0015337194620127,0.0016346175145168,0.0020036311188448,0.0013173567886023,0.0623744479530374,0.0079732853072312,0.0013370647551324,0.0029605280421821,0.0106448142303727,0.0054776231818929,0.0007513555095719,0.0020095216723012,0.0291426586993499,0.0012101704818161,0.0008765058333755,0.003313512063124,0.0022671040333063,0.00124969951325,0.0014658307743908,0.0110578844755367,0.0664833042077234,0.0023875374588881,0.0008496462242612,0.0035132769532718,0.0083708257990457,0.0029986371554088,0.0017692030419517,0.0010963674135014,0.0258248390809279,0.0066970707603083,0.0011675941153546,0.003646377768574,0.0108776252368001,0.0042493127293005,0.0013288988647219,0.0011595412671446,0.0093351909574766,0.0043651474323001,0.002733081268191,0.003661997468192,0.0069006277062306,0.0036126792199844,0.0011212065000712,0.0114623024305396,0.0209711769715882,0.0105080605628366,0.0114206430527389,0.0067962876669203,0.0038422448854622,0.0247427777277571,0.022985012174382,0.0178375049574869,0.0103437007485149,0.0305011469633417,0.0049609099111453,0.0049094378178887,0.0105123979919851,0.0147176362146146,0.0065650243874935,0.000841201591537,0.0098222540863,0.0178297840280089,0.0018315754480051,0.0037591764168629,0.0130569937471226,0.011719200577386,0.002735484721147,0.0021221048453949,0.0111973163693247,0.0089947523355708,0.0025694966275134,0.0023470412341779,0.0079657405000069,0.0078009039681116,0.0029151494807472,0.0007011427897812,0.0012949574642331,0.0017724942484642,0.0011674027399402,0.0016915609128752,0.0014217534921236,0.0236484731273721,0.005800298603413,0.0006239600286996,0.0007294614830356,0.0008450039715966,0.0014039930235682,0.000923879404166,0.0108785559409863,0.0642858686546108,0.0027385347337723,0.0003737854823173,0.0016950843686849,0.0039765924474572,0.0011548547846429,0.0004274942335046,0.0129207240672541,0.0584976076307929,0.0016155021940177,0.0003298113383319,0.001124214910265,0.0086377657067976,0.0014318002274463,0.0010955381403376,0.0230603677992093,0.0349401662452399,0.00129963366,positive
