url,title,titleComplete,description,imageUrl,genres,asin,isbn,isbn13,publisher,series,author,publishDate,characters,ratingHistogram,ratingsCount,reviewsCount,numPages,language,places
https://www.goodreads.com/book/show/54352941-don-t-close-your-eyes,Don't Close Your Eyes,Don't Close Your Eyes,"An enemies to lovers series begins.Bartender, beach bunny and college track star known as Micro Machine, Kinsley Hayes most pressing priorities are having the lowest times on the stopwatch and choosing between internship before graduation.An encounter with a dicey stranger jolts Kinsley into the real world while she's left mystified by her magnetism to the edgy rogue. Who is he? Will she ever see him again?Klive King reappears in Kinsley's life as a secret admirer, tempting and teasing, rekindling their irresistible love-hate chemistry at the same time as her high school crush home from war, Jase Taylor, reveals his repressed longing to be more than friends.What's a girl to do?When nefarious biker gang, Inferno, set their sights on the wrong girl, Kinsley inadvertently draws both Klive and Jase into a battle to protect her while also dueling for her heart.Set in the tropical locales of Florida, this dual POV suspenseful romance follows Klive, Kinsley and Jase into the beginning of their tumultuous love triangle and perilous conflicts between good, evil, love, hate and the bounds they break when pushed to their limits.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1593626735i/54352941.jpg,"Fiction, Contemporary Romance, Dark, Contemporary, Reverse Harem, Crime, Thriller, Romance, Mystery, Suspense",B08C36B91H,1735322318,9781735322315.0,Lynessa Layne Literature,"Don't Close Your Eyes, DCYE","Lynessa Layne, Lynessa James",1593500400000.0,,"71, 52, 78, 122, 238",561.0,73.0,326.0,English,
https://www.goodreads.com/book/show/19000.The_Constant_Gardener,The Constant Gardener,The Constant Gardener,"Now a major motion picture from Fernando Meirelles, the Academy Award-nominated director of City of God The Constant Gardener is a magnificent exploration of the new world order by one of the most compelling and elegant storytellers of our time. The novel opens in northern Kenya with the gruesome murder of Tessa Quayle--young, beautiful, and dearly beloved to husband Justin. When Justin sets out on a personal odyssey to uncover the mystery of her death, what he finds could make him not only a suspect among his own colleagues, but a target for Tessa's killers as well.  A master chronicler of the betrayals of ordinary people caught in political conflict, John le Carre portrays the dark side of unbridled capitalism as only he can. In The Constant Gardener he tells a compelling, complex story of a man elevated through tragedy as Justin Quayle--amateur gardener, aging widower, and ineffectual bureaucrat--discovers his own natural resources, and the extraordinary courage of the woman he barely had time to love.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348649766i/19000.jpg,"Fiction, Novels, Crime, Espionage, Contemporary, Thriller, Mystery Thriller, Mystery, Africa, Suspense",0743287207,,9780743287203.0,Scribner,,John le Carré,1125039600000.0,"Arnold Bluhm, Justin Quayle, Sandy Woodrow, Tessa Quayle","574, 1831, 7076, 11727, 7414",28622.0,1772.0,482.0,English,"Nairobi, London, England"
https://www.goodreads.com/book/show/6368610-radiant-shadows,Radiant Shadows,"Radiant Shadows (Wicked Lovely, #4)","Alluring romance, heart-stopping danger, and sinister intrigue combine in the penultimate volume of Melissa Marr's #1 New York Times  bestselling Wicked Lovely series. Half-human and half-faery, Ani is driven by her hungers. Those same appetites also attract powerful enemies and uncertain allies, including Devlin. He was created as an assassin and is brother to the faeries' coolly logical High Queen and to her chaotic twin, the embodiment of War. Devlin wants to keep Ani safe from his sisters, knowing that if he fails, he will be the instrument of Ani's death. Ani isn't one to be guarded while others fight battles for her, though. She has the courage to protect herself and the ability to alter Devlin's plans—and his life. The two are drawn together, each with reason to fear the other and to fear  for  one another. But as they grow closer, a larger threat imperils the whole of Faerie. Will saving the faery realm mean losing each other?",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1258758145i/6368610.jpg,"Fiction, Paranormal, Fairies, Fae, Young Adult, Paranormal Romance, Magic, Urban Fantasy, Fantasy, Romance",0061659223,0061659223,9780061659225.0,Harper,Wicked Lovely,Melissa Marr,1272092400000.0,"Ani, Devlin","767, 2398, 8589, 12227, 14633",38614.0,1462.0,340.0,English,
https://www.goodreads.com/book/show/40175491-lights-on-the-sea,Lights on the Sea,Lights on the Sea,"On the highest point of an island, in a house clinging to the edge of a cliff, live Mary Rose and Harold Grapes, a retired couple still mourning the death of their son thirty-five years before. Weighed down by decades of grief and memories, the Grapes have never moved past the tragedy. Then, on the eve of eviction from the most beautiful and dangerously unstable perch in the area, they’re uprooted by a violent storm. The disbelieving Grapes and their home take a free-fall slide into the white-capped sea and float away.As the past that once moored them recedes and disappears, Mary Rose and Harold are delivered from decades of sorrow by the ebb and flow of the waves. Ahead of them, a light shimmers on the horizon, guiding them toward a revelatory and cathartic new engagement with life, and all its wonder.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1530711307i/40175491.jpg,"Magical Realism, Fiction, Contemporary, Travel, Adult, Spain, Survival, Adventure, Fantasy, Spanish Literature",1503903206,1503903206,9781503903203.0,Amazon Crossing,,"Miquel Reina, Catherine E. Nelson",1537858800000.0,,"60, 191, 572, 881, 1020",2724.0,544.0,272.0,English,
https://www.goodreads.com/book/show/470495.All_Over_But_the_Shoutin_,All Over But the Shoutin',All Over But the Shoutin',"The extraordinary gifts for evocation and insight and the stunning talent for storytelling that earned Rick Bragg a Pulitzer Prize for feature writing in 1996 are here brought to bear on the wrenching story of his own family's life. It is the story of a violent, war-haunted, alcoholic father and a strong-willed, loving mother who struggled to protect her three sons from the effects of poverty and ignorance that had tainted her own life. It is the story of the life Bragg was able to carve out for himself on the strength of his mother's encouragement and belief.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1616420845i/470495.jpg,"Memoir, History, Autobiography, Poverty, Family, Biography Memoir, Biography, Book Club, Southern, Nonfiction",0679774025,0679774025,9780679774020.0,Vintage,Family Trilogy,Rick Bragg,904633200000.0,,"331, 1055, 4977, 10387, 11662",28412.0,2009.0,329.0,English,
https://www.goodreads.com/book/show/55711617-my-heart-is-a-chainsaw,My Heart Is a Chainsaw,"My Heart Is a Chainsaw (The Indian Lake Trilogy, #1)","You won’t find a more hardcore eighties-slasher-film fan than high school senior Jade Daniels. And you won’t find a place less supportive of girls who wear torn T-shirts and too much eyeliner than Proofrock, nestled eight thousand feet up a mountain in Idaho, alongside Indian Lake, home to both Camp Blood – site of a massacre fifty years ago – and, as of this summer, Terra Nova, a second-home celebrity Camelot being carved out of a national forest.That’s not the only thing that’s getting carved up, though – this, Jade knows, is the start of a slasher. But what kind? Who’s wearing the mask? Jade’s got an encyclopedic recall of every horror movie on the shelf, but… will that help her survive? Can she get a final girl trained enough to stop all this from happening? Does she even want to?Isn’t a slasher exactly what her hometown deserves?This new novel by the New York Times bestselling author of The Only Good Indians, Stephen Graham Jones, called “one of our most talented living writers” by Tommy Orange, explores the changing landscape of the West through his distinct voice of sharp humor and prophetic violence.Go up the mountain to Proofrock. See if you’ve got what it takes – see if your heart, too, might be a chainsaw.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1623264202i/55711617.jpg,"Fiction, Paranormal, Audiobook, Contemporary, Adult, Thriller, Horror, Mystery Thriller, Adult Fiction, Mystery",1982137630,1982137630,9781982137632.0,Gallery / Saga Press,The Indian Lake Trilogy,Stephen Graham Jones,1630393200000.0,"Jade Daniels, Letha Mondragon, Theo Mondragon","2031, 4684, 10513, 13217, 8322",38767.0,7905.0,405.0,English,Idaho
https://www.goodreads.com/book/show/145622214-heir-of-broken-fate,Heir of Broken Fate,"Heir of Broken Fate (HOBF, #1)","One hundred and fifty years ago the Fae race vanished. Along with their magic and creatures. With the fallen Fae lands the humans were soon to follow as corruption spread throughout the realm. Heir to the throne, Delilah Covington is forced to watch her people suffer under the sinful hands of her father, the king—while she herself suffers his cruel hand. Delilah has longed for change, her prayers going unanswered until she discovers salvation.Fae are alive.In desperation, Delilah flees her home and crosses the border, in hopes that the Fae will save her people.Yet she isn’t the only one who needs help.Caught in a web of lies and riddles Delilah’s only chance at hope is Knox, one of the irritating, yet frustratingly charming Fae kings. Together they’ll need to unravel the many mysteries to bring freedom to both their oppressed people, or damn them all.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1682909594i/145622214.jpg,"Fiction, Erotica, Fae, New Adult, Magic, Adult, Fantasy, Romance, Mystery, Fantasy Romance",,0645803715,9780645803716.0,Independently Published,HOBF,Mads Rafferty,1682924400000.0,,"276, 392, 1027, 1429, 1411",4535.0,562.0,512.0,English,
https://www.goodreads.com/book/show/397860.The_Fog,The Fog,The Fog,"A peaceful village in Wiltshire is shattered by a disaster which strikes without reason or explanation, leaving behind a trail of misery and horror. A yawning, bottomless crack spreads through the earth, out of which creeps a fog that resembles no other. Whatever it is, it must be controlled.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348466044i/397860.jpg,"Fiction, Paranormal, Supernatural, Audiobook, Science Fiction, Thriller, Horror, Fantasy, Mystery, Novels",0330376152,0330376152,9780330376150.0,Macmillan UK,,James Herbert,922953600000.0,,"480, 1562, 6762, 9083, 8305",26192.0,682.0,345.0,English,
https://www.goodreads.com/book/show/18143905-the-opposite-of-loneliness,The Opposite of Loneliness: Essays and Stories,The Opposite of Loneliness: Essays and Stories,"An affecting and hope-filled posthumous collection of essays and stories from the talented young Yale graduate whose title essay captured the world’s attention in 2012 and turned her into an icon for her generation.Marina Keegan’s star was on the rise when she graduated magna cum laude from Yale in May 2012. She had a play that was to be produced at the New York International Fringe Festival and a job waiting for her at the New Yorker. Tragically, five days after graduation, Marina died in a car crash.As her family, friends, and classmates, deep in grief, joined to create a memorial service for Marina, her unforgettable last essay for the Yale Daily News, “The Opposite of Loneliness,” went viral, receiving more than 1.4 million hits. She had struck a chord.Even though she was just twenty-two when she died, Marina left behind a rich, expansive trove of prose that, like her title essay, captures the hope, uncertainty, and possibility of her generation. The Opposite of Loneliness is an assem­blage of Marina’s essays and stories that, like The Last Lecture, articulates the universal struggle that all of us face as we figure out what we aspire to be and how we can harness our talents to make an impact on the world.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1401056149i/18143905.jpg,"Memoir, Short Stories, Audiobook, Contemporary, Adult, Biography, Biography Memoir, Essays, Coming Of Age, Nonfiction",147675361X,147675361X,9781476753614.0,Scribner,,"Marina Keegan, Anne Fadiman",1396940400000.0,,"915, 3517, 12983, 17998, 15097",50510.0,4784.0,208.0,English,
https://www.goodreads.com/book/show/40604556-red-seas-under-red-skies,Red Seas Under Red Skies,"Red Seas Under Red Skies (Gentleman Bastard, #2)","Librarian note: An older cover for this edition can be found here: 31-Jul-2007.After a brutal battle with the underworld that nearly destroyed him, Locke Lamora and his trusted sidekick, Jean, fled the island city of their birth and landed on the exotic shores of Tal Verrar to nurse their wounds. But even at this westernmost edge of civilization, they can't rest for long---and they are soon back doing what they do best: stealing from the undeserving rich and pocketing the proceeds for themselves.This time, however, they have targeted the grandest prize of all: the Sinspire, the most exclusive and heavily guarded gambling house in the world. Its nine floors attract the wealthiest clientele - and to rise to the top, one must impress with good credit, amusing behavior...and excruciatingly impeccable play. For there is one cardinal rule, enforced by Requin, the house's cold-blooded master: it is death to cheat at any game at the Sinspire.Brazenly undeterred, Locke and Jean have orchestrated an elaborate plan to lie, trick, and swindle their way up the nine floors...straight to Requin's teeming vault. Under the cloak of false identities, they meticulously make their climb - until they are closer to the spoils than ever.But someone in Tal Verrar has uncovered the duo's secret. Someone from their past who has every intention of making the impudent criminals pay for their sins. Now it will take every ounce of cunning to save their mercenary souls. And even that may not be enough.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659900333i/40604556.jpg,"Fiction, High Fantasy, Audiobook, Epic Fantasy, Crime, Pirates, Adult, Adventure, Fantasy, Science Fiction Fantasy",B000UDNBS0,,,Del Rey,Gentleman Bastard,Scott Lynch,1527836400000.0,"Jean Tannen, Locke Lamora","841, 3049, 18879, 58890, 63373",145032.0,7998.0,578.0,English,
